,Hotel_name,Positive_summary,Negative_summary
27,Hotel L Antoine,"[('great staff', 7), ('friendly staff', 6), ('staff location', 4), ('liked shower', 3), ('excellent staff', 3)]","[('small room', 12), ('everything great', 3), ('bit small', 3), ('usual paris', 2), ('noisy small', 2)]"
28,Belfast,"[('breakfast good', 2), ('arc eiffel', 2), ('triumph arc', 2), ('room location', 2), ('good staff', 2)]","[('small room', 6), ('tiny old', 2), ('paper towel', 1), ('towel toilet', 1), ('understands speaks', 1)]"
29,Shangri La Hotel Paris,"[('concierge service', 2), ('service excellent', 2), ('eiffel tower', 2), ('proposed category', 1), ('category change', 1)]","[('probably level', 2), ('level thing', 2), ('thing morning', 2), ('earlier informed', 1), ('informed provided', 1)]"
30,Mercure Paris Tour Eiffel Pont Mirabeau,"[('staff location', 6), ('helpful friendly', 3), ('eiffel tower', 2), ('friendly great', 2), ('friendly staff', 2)]","[('seat kuerig', 1), ('kuerig silverware', 1), ('silverware guest', 1), ('guest breakfast', 1), ('room sq', 1)]"
31,Knightsbridge Hotel,"[('staff location', 6), ('great staff', 4), ('great good', 4), ('room staff', 4), ('helpful staff', 3)]","[('small room', 5), ('making facility', 3), ('noisy bit', 2), ('facility coffee', 2), ('coffee room', 2)]"
32,The London EDITION,"[('everything hotel', 4), ('excellent staff', 3), ('great location', 3), ('great room', 3), ('restaurant nice', 2)]","[('berners tavern', 2), ('making tea', 2), ('small room', 2), ('room small', 2), ('ipads lacking', 1)]"
33,The Cranley Hotel,"[('comfortable bed', 4), ('friendly staff', 4), ('helpful staff', 4), ('helpful friendly', 3), ('bed helpful', 3)]","[('tea facility', 4), ('facility coffee', 2), ('hot room', 2), ('floorboard creaky', 2), ('anything think', 2)]"
34,Hotel Le 10 BIS,"[('clean friendly', 2), ('reality effect', 1), ('effect dark', 1), ('dark cor', 1), ('cor worked', 1)]","[('cup provided', 1), ('provided im', 1), ('im sugar', 1), ('sugar drinking', 1), ('honestly happy', 1)]"
35,The Nadler Soho,"[('staff location', 29), ('great staff', 14), ('friendly staff', 13), ('room location', 11), ('comfortable bed', 9)]","[('small room', 34), ('size room', 4), ('restaurant bar', 4), ('bit small', 4), ('wifi poor', 3)]"
36,Grange St Paul s Hotel,"[('staff location', 34), ('great location', 32), ('room location', 27), ('good location', 21), ('paul st', 21)]","[('price breakfast', 9), ('small room', 6), ('little breakfast', 5), ('alarm fire', 5), ('slow lift', 5)]"
37,The Ampersand Hotel,"[('staff location', 16), ('comfortable bed', 8), ('great staff', 8), ('helpful friendly', 7), ('friendly great', 7)]","[('small room', 31), ('bit small', 5), ('people two', 3), ('rather small', 3), ('mirror hair', 2)]"
38,Covent Garden Hotel,"[('friendly staff', 2), ('beautiful facility', 2), ('escape relax', 1), ('relax road', 1), ('road lounge', 1)]","[('place like', 1), ('amends gracious', 1), ('gracious impeccable', 1), ('impeccable recognised', 1), ('recognised style', 1)]"
39,The Nadler Victoria,"[('staff location', 24), ('helpful friendly', 12), ('great staff', 11), ('room staff', 11), ('friendly staff', 10)]","[('small room', 19), ('restaurant bar', 5), ('bit small', 5), ('little small', 4), ('everything great', 4)]"
40,Novotel London Tower Bridge,"[('staff location', 14), ('friendly staff', 10), ('great location', 8), ('comfortable bed', 8), ('comfortable clean', 7)]","[('bar staff', 3), ('sofa bed', 2), ('triple sofa', 2), ('sofa uncomfortable', 2), ('uncomfortable bed', 2)]"
41,Crowne Plaza Paris R publique,"[('staff location', 9), ('good staff', 7), ('breakfast good', 6), ('breakfast great', 5), ('excellent breakfast', 5)]","[('republique demonstration', 2), ('crowne plaza', 2), ('lobby smell', 2), ('smell little', 2), ('street view', 2)]"
42,Le Metropolitan a Tribute Portfolio Hotel,"[('helpful friendly', 5), ('comfortable bed', 4), ('friendly staff', 4), ('eiffel tower', 4), ('staff location', 3)]","[('small room', 3), ('cut eventually', 1), ('eventually downstairs', 1), ('downstairs answer', 1), ('answer happened', 1)]"
43,Atala Champs Elys es,"[('room location', 3), ('excellent room', 2), ('staff location', 2), ('friendly good', 2), ('good staff', 2)]","[('one luggage', 1), ('luggage oily', 1), ('oily check', 1), ('check visited', 1), ('speaking stained', 1)]"
44,H tel de Jos phine BONAPARTE,"[('bed great', 2), ('perfect everything', 2), ('female particularly', 1), ('particularly member', 1), ('member central', 1)]","[('small room', 7), ('earplug bring', 1), ('bring trying', 1), ('trying dark', 1), ('dark evening', 1)]"
45,Maison Souquet,"[('souquet maison', 3), ('excellent staff', 2), ('fantastic staff', 2), ('exotic hotel', 1), ('hotel definite', 1)]","[('bit breakfast', 2), ('size room', 2), ('light key', 1), ('key dark', 1), ('dark find', 1)]"
46,Hotel Tour d Auvergne Opera,"[('nord du', 2), ('du gare', 2), ('helpful staff', 2), ('helpful friendly', 2), ('sunny nord', 1)]","[('experience double', 1), ('double speaks', 1), ('speaks convinced', 1), ('convinced favour', 1), ('samsung alot', 1)]"
47,Le Senat,"[('staff location', 7), ('nice room', 4), ('comfortable nice', 3), ('good location', 3), ('good staff', 3)]","[('small room', 5), ('tea facility', 3), ('bit small', 3), ('facility coffee', 2), ('fi wi', 2)]"
48,Windsor Opera,"[('helpful friendly', 3), ('room location', 2), ('friendly staff', 2), ('gregg trilingual', 1), ('trilingual guarded', 1)]","[('signage kettle', 1), ('kettle bigger', 1), ('bigger see', 1), ('see make', 1), ('isolation sound', 1)]"
49,Holiday Inn Paris Montparnasse Pasteur,"[('breakfast good', 2), ('staff location', 2), ('nice breakfast', 2), ('good staff', 2), ('deal pleasant', 1)]","[('overrating definitely', 1), ('definitely theee', 1), ('theee backache', 1), ('backache bed', 1), ('pourquoi inconvenienced', 1)]"
50,H tel Keppler,"[('staff location', 6), ('great staff', 4), ('clean helpful', 3), ('helpful friendly', 3), ('triomphe arc', 2)]","[('small room', 4), ('coffee room', 2), ('little small', 2), ('size room', 2), ('tea coffee', 2)]"
51,Les Plumes Hotel,"[('staff location', 7), ('friendly staff', 5), ('nord du', 4), ('helpful friendly', 3), ('comfortable bed', 3)]","[('small room', 3), ('liked everything', 2), ('journey attraction', 1), ('attraction required', 1), ('required tourist', 1)]"
52,Hotel des Tuileries Relais du Silence,"[('good location', 4), ('staff location', 4), ('great room', 4), ('room location', 3), ('jardin tuileries', 2)]","[('value money', 3), ('service room', 2), ('money breakfast', 2), ('old practical', 1), ('practical little', 1)]"
53,Bradford Elys es Astotel,"[('helpful friendly', 3), ('good room', 3), ('good location', 3), ('room location', 2), ('great hotel', 2)]","[('included breakfast', 2), ('floor blems', 1), ('blems misstep', 1), ('misstep garret', 1), ('garret rebate', 1)]"
54,W London Leicester Square,"[('staff location', 8), ('great location', 7), ('comfy bed', 5), ('friendly great', 5), ('hotel location', 5)]","[('tea facility', 5), ('facility coffee', 3), ('club actually', 2), ('check room', 2), ('bathroom room', 2)]"
55,The Victoria,"[('friendly staff', 8), ('helpful friendly', 5), ('comfortable bed', 4), ('quiet comfortable', 3), ('breakfast great', 3)]","[('plane sleeper', 2), ('hard bed', 2), ('noise floor', 2), ('nice would', 2), ('bathroom small', 2)]"
56,Pullman London St Pancras,"[('friendly staff', 39), ('staff location', 38), ('comfortable bed', 23), ('helpful friendly', 22), ('excellent breakfast', 20)]","[('pillow hard', 13), ('small room', 8), ('expensive bit', 6), ('hard bed', 5), ('uncomfortable bed', 5)]"
57,Crowne Plaza London Kensington,"[('staff location', 11), ('friendly staff', 7), ('friendly great', 6), ('helpful friendly', 6), ('albert hall', 5)]","[('small room', 6), ('desk front', 2), ('great breakfast', 2), ('bit bed', 2), ('nice little', 2)]"
58,Doubletree by Hilton London Kensington,"[('staff location', 34), ('comfortable bed', 34), ('good location', 28), ('friendly staff', 27), ('helpful staff', 23)]","[('small room', 39), ('little small', 6), ('price breakfast', 5), ('free wifi', 5), ('bit small', 5)]"
59,Ace Hotel London Shoreditch,"[('friendly staff', 14), ('friendly great', 12), ('great location', 11), ('record player', 9), ('comfy bed', 8)]","[('expensive bit', 4), ('service breakfast', 4), ('little bit', 4), ('better could', 3), ('london expensive', 2)]"
60,Staybridge Suites London Vauxhall,"[('friendly good', 5), ('room staff', 5), ('helpful breakfast', 5), ('breakfast friendly', 4), ('breakfast room', 4)]","[('hard bit', 3), ('bit bed', 3), ('hard bed', 3), ('negative say', 2), ('say thing', 2)]"
61,The Grosvenor,"[('staff location', 44), ('comfortable bed', 37), ('great location', 31), ('helpful staff', 28), ('helpful friendly', 27)]","[('small room', 36), ('bathroom small', 7), ('executive lounge', 6), ('service room', 6), ('little small', 6)]"
62,The Park Tower Knightsbridge a Luxury Collection Hotel,"[('staff location', 12), ('thing every', 8), ('room location', 7), ('good staff', 6), ('friendly staff', 6)]","[('free wifi', 8), ('fi wi', 6), ('wifi room', 4), ('wi free', 3), ('high price', 3)]"
63,Amp re,"[('comfortable bed', 5), ('good room', 4), ('near metro', 4), ('friendly staff', 4), ('comfy bed', 4)]","[('small room', 3), ('expensive price', 2), ('good breakfast', 2), ('long way', 2), ('little small', 2)]"
64,Melia Paris Champs Elys es,"[('fluent shape', 1), ('shape triomphe', 1), ('triomphe prepared', 1), ('prepared arc', 1), ('professionalism friendly', 1)]","[('critique available', 1), ('available service', 1), ('service suggestion', 1), ('suggestion practical', 1), ('tramp footstep', 1)]"
65,Le Parisis Paris Tour Eiffel,"[('eiffel tower', 52), ('room staff', 12), ('staff location', 10), ('helpful friendly', 7), ('friendly staff', 6)]","[('eiffel tower', 10), ('small room', 7), ('tower view', 4), ('service room', 4), ('expensive breakfast', 4)]"
66,Thistle Kensington Gardens,"[('staff location', 35), ('friendly staff', 26), ('hyde park', 24), ('helpful staff', 19), ('good location', 18)]","[('small room', 42), ('bit small', 9), ('little small', 5), ('price small', 5), ('size room', 5)]"
67,Park Plaza Sherlock Holmes London,"[('staff location', 34), ('friendly staff', 18), ('great staff', 15), ('comfortable bed', 14), ('hotel location', 12)]","[('small room', 13), ('door bathroom', 5), ('shower small', 4), ('sherlock holmes', 4), ('air noisy', 3)]"
68,Hilton Paris Opera,"[('hotel location', 5), ('great staff', 4), ('friendly staff', 4), ('good room', 3), ('breakfast great', 3)]","[('small room', 3), ('wait long', 2), ('long check', 2), ('expensive bar', 2), ('day complimentary', 1)]"
69,The Kensington Hotel,"[('staff location', 11), ('friendly staff', 7), ('helpful friendly', 6), ('friendly great', 6), ('area bar', 5)]","[('small room', 30), ('bit small', 6), ('bathroom small', 6), ('size room', 3), ('quite small', 3)]"
70,Holiday Inn London Stratford City,"[('great location', 29), ('friendly staff', 29), ('staff location', 23), ('comfortable bed', 18), ('room location', 17)]","[('park car', 6), ('price bar', 5), ('anything think', 4), ('bar service', 4), ('fi wi', 4)]"
71,Staybridge Suites London Stratford,"[('staff location', 20), ('friendly staff', 12), ('comfortable bed', 8), ('helpful friendly', 8), ('breakfast good', 7)]","[('could breakfast', 4), ('food hot', 4), ('anything think', 3), ('choice breakfast', 3), ('better could', 2)]"
72,Shepherd s Bush Boutique Hotel,"[('shepherd bush', 45), ('friendly staff', 24), ('staff location', 19), ('helpful friendly', 10), ('comfortable clean', 10)]","[('small room', 9), ('bit room', 5), ('smelt drain', 3), ('air work', 3), ('window room', 3)]"
73,My Bloomsbury,"[('staff location', 24), ('comfortable bed', 16), ('great staff', 12), ('friendly great', 10), ('good location', 9)]","[('small room', 24), ('bit small', 4), ('bathroom small', 4), ('little small', 3), ('small breakfast', 3)]"
74,Holiday Inn Paris Gare de Lyon Bastille,"[('gare de', 37), ('lyon gare', 33), ('good location', 9), ('friendly staff', 8), ('comfortable clean', 8)]","[('small room', 11), ('bit breakfast', 4), ('next door', 4), ('expensive bit', 3), ('sex shop', 3)]"
75,H tel Chaplain Paris Rive Gauche,"[('friendly staff', 5), ('staff location', 5), ('jardin luxembourg', 3), ('hotel staff', 3), ('sheet sleep', 2)]","[('small room', 3), ('fresh gave', 2), ('lift small', 2), ('wifi poor', 2), ('might minor', 1)]"
76,H tel Regina Op ra Grands Boulevards,"[('modern clean', 2), ('friendly good', 2), ('kitch attempt', 1), ('attempt interesting', 1), ('interesting major', 1)]","[('knob moving', 1), ('moving arrive', 1), ('arrive iron', 1), ('iron kept', 1), ('space toddler', 1)]"
77,11 Cadogan Gardens,"[('friendly staff', 9), ('staff location', 8), ('helpful friendly', 8), ('room staff', 4), ('comfortable bed', 3)]","[('bathroom small', 2), ('expensive breakfast', 2), ('prise excessive', 1), ('excessive thought', 1), ('thought drink', 1)]"
78,The Wellesley Knightsbridge a Luxury Collection Hotel London,"[('staff location', 4), ('friendly staff', 4), ('perfect everything', 3), ('royce chauffeur', 2), ('service excellent', 2)]","[('small room', 3), ('foundation never', 1), ('never invoice', 1), ('invoice careful', 1), ('careful chain', 1)]"
79,Hotel Astor Saint Honor ,"[('astor alittle', 1), ('alittle closing', 1), ('closing present', 1), ('present renovation', 1), ('larger getting', 1)]","[('beauty terrace', 1), ('terrace located', 1), ('located roof', 1), ('roof ac', 1), ('exist planned', 1)]"
80,Op ra Marigny,"[('staff location', 9), ('comfortable bed', 7), ('good location', 6), ('clean good', 4), ('distance walking', 3)]","[('small room', 3), ('speaking channel', 2), ('channel english', 2), ('wifi work', 2), ('expresso dealt', 1)]"
81,H tel Diva Opera,"[('friendly staff', 14), ('staff location', 12), ('helpful friendly', 11), ('comfortable bed', 7), ('helpful staff', 5)]","[('small room', 9), ('bit room', 5), ('tiny room', 4), ('little small', 3), ('size room', 3)]"
82,Le Marcel,"[('staff location', 4), ('gare de', 3), ('nord du', 3), ('du gare', 3), ('est gare', 3)]","[('small room', 5), ('like small', 2), ('expected small', 2), ('uncomfortable walk', 1), ('walk way', 1)]"
83,H tel Duo,"[('staff location', 15), ('helpful friendly', 6), ('friendly staff', 6), ('comfortable bed', 5), ('great staff', 5)]","[('small room', 16), ('bit small', 4), ('high price', 2), ('outside noisy', 2), ('price small', 2)]"
84,H tel Le Marianne,"[('nice clean', 2), ('quiet location', 2), ('champ smart', 2), ('boutique hotel', 2), ('required amenity', 1)]","[('small room', 4), ('breakfast regardless', 1), ('regardless feature', 1), ('feature cheese', 1), ('cheese croissant', 1)]"
85,The Rembrandt,"[('friendly staff', 18), ('staff location', 17), ('albert hall', 14), ('breakfast good', 13), ('royal albert', 13)]","[('small room', 11), ('bit small', 5), ('night one', 3), ('little bit', 3), ('little small', 3)]"
86,Hotel Eden,"[('clean friendly', 5), ('helpful friendly', 4), ('clean helpful', 4), ('room staff', 4), ('metro close', 3)]","[('small room', 5), ('paris standard', 2), ('toilet bathroom', 2), ('centre city', 2), ('unappealing equipment', 1)]"
87,H tel de la Bourdonnais,"[('eiffel tower', 18), ('staff location', 16), ('friendly staff', 8), ('good location', 6), ('desk front', 5)]","[('small room', 5), ('longer stay', 3), ('connection internet', 3), ('could room', 2), ('better could', 2)]"
88,Ashburn Hotel,"[('friendly staff', 8), ('staff location', 6), ('helpful friendly', 6), ('royal albert', 5), ('clean helpful', 5)]","[('breakfast room', 6), ('small breakfast', 3), ('slow wifi', 2), ('poor breakfast', 2), ('authorisation agreed', 1)]"
89,Marlin Waterloo,"[('room location', 3), ('comfortable bed', 2), ('bar nice', 2), ('good room', 2), ('clean hotel', 2)]","[('bottle water', 2), ('small room', 2), ('tuned bin', 1), ('bin detail', 1), ('detail property', 1)]"
90,Best Western Premier Marais Grands Boulevards,"[('staff location', 7), ('comfy bed', 5), ('comfortable bed', 5), ('nice clean', 4), ('good location', 4)]","[('small room', 15), ('bit small', 3), ('expected city', 2), ('window little', 2), ('great stay', 2)]"
91,Novotel London Waterloo,"[('friendly staff', 13), ('staff location', 8), ('breakfast good', 6), ('helpful staff', 5), ('comfortable bed', 5)]","[('expensive price', 3), ('kid construction', 2), ('sugar milk', 2), ('construction new', 2), ('price breakfast', 2)]"
92,The Athenaeum,"[('staff location', 7), ('room staff', 5), ('friendly staff', 4), ('excellent room', 4), ('room location', 4)]","[('money would', 2), ('water room', 2), ('item mini', 2), ('poor room', 2), ('door counter', 1)]"
93,Park International Hotel,"[('staff location', 15), ('friendly staff', 13), ('great location', 9), ('helpful friendly', 8), ('good room', 8)]","[('small room', 15), ('free wifi', 8), ('wifi room', 8), ('bed small', 6), ('fi wi', 6)]"
94,Lansbury Heritage Hotel,"[('canary wharf', 3), ('friendly staff', 2), ('internet sencor', 1), ('sencor poplar', 1), ('poplar everything', 1)]","[('neigbours side', 1), ('side noise', 1), ('noise surrounded', 1), ('surrounded asleep', 1), ('state general', 1)]"
95,Le Dokhan s a Tribute Portfolio Hotel,"[('hotel staff', 3), ('staff location', 3), ('champagne glass', 2), ('great location', 2), ('bed good', 1)]","[('card master', 1), ('master accept', 1), ('accept happened', 1), ('happened yheir', 1), ('toilet stuffed', 1)]"
96,Le Relais Madeleine,"[('staff location', 7), ('good room', 4), ('good location', 3), ('good staff', 3), ('friendly good', 3)]","[('small room', 3), ('web booking', 1), ('booking site', 1), ('site com', 1), ('com overpaid', 1)]"
97,Terrass H tel Montmartre by MH,"[('friendly staff', 6), ('staff location', 5), ('roof terrace', 4), ('amazing view', 4), ('helpful friendly', 4)]","[('tea coffee', 5), ('value money', 2), ('bathroom small', 2), ('channel english', 2), ('english tv', 2)]"
98,Millennium Hotel Paris Opera,"[('staff location', 7), ('good staff', 4), ('friendly staff', 3), ('room staff', 3), ('comfortable bed', 3)]","[('value money', 2), ('small room', 2), ('could staff', 2), ('standard star', 1), ('star lay', 1)]"
99,Waldorf Madeleine,"[('staff location', 29), ('friendly staff', 11), ('great staff', 8), ('good staff', 7), ('friendly great', 7)]","[('small breakfast', 9), ('small room', 9), ('breakfast room', 7), ('expensive breakfast', 5), ('bit breakfast', 3)]"
100,Batty Langley s,"[('langley batty', 9), ('friendly staff', 7), ('helpful friendly', 5), ('attention detail', 5), ('excellent staff', 5)]","[('facility coffee', 4), ('bottled complimentary', 3), ('tea facility', 3), ('better could', 3), ('included high', 2)]"
101,Best Western Mornington Hotel Hyde Park,"[('friendly staff', 22), ('breakfast good', 22), ('hyde park', 21), ('staff location', 20), ('lancaster gate', 19)]","[('small room', 39), ('lancaster gate', 5), ('bed small', 5), ('little small', 4), ('bathroom small', 4)]"
102,Arbor City,"[('aldgate east', 20), ('comfortable clean', 15), ('clean room', 14), ('brick lane', 14), ('friendly staff', 13)]","[('expensive breakfast', 8), ('park car', 4), ('little bit', 4), ('hot water', 3), ('view room', 3)]"
103,Hotel La Lanterne,"[('notre dame', 6), ('staff location', 4), ('excellent hotel', 3), ('steam notre', 2), ('pool beautiful', 2)]","[('small room', 2), ('international dislike', 1), ('dislike channel', 1), ('channel recommend', 1), ('recommend anything', 1)]"
104,H tel Square Louvois,"[('helpful friendly', 3), ('interior stylish', 2), ('great room', 2), ('lovely staff', 2), ('icon current', 1)]","[('small room', 3), ('perfect everything', 2), ('family kid', 1), ('kid might', 1), ('might japan', 1)]"
105,Hotel Marignan Champs Elys es,"[('staff location', 15), ('room staff', 8), ('great staff', 5), ('great location', 4), ('friendly staff', 4)]","[('small room', 8), ('water shower', 2), ('bit small', 2), ('selection buffet', 2), ('elevator slow', 2)]"
106,Le Grey Hotel,"[('comfortable nice', 3), ('nice helpful', 3), ('staff location', 3), ('money value', 2), ('comfy bed', 2)]","[('small room', 3), ('slightly comfortable', 1), ('comfortable bedroom', 1), ('bedroom clean', 1), ('clean small', 1)]"
107,Le Pavillon des Lettres,"[('staff location', 4), ('decor location', 4), ('lovely helpful', 2), ('excellent staff', 2), ('bicycle example', 1)]","[('machine coffee', 2), ('coffee room', 2), ('much compact', 1), ('compact spacious', 1), ('spacious suggest', 1)]"
108,H tel San R gis,"[('staff location', 8), ('room staff', 5), ('hotel staff', 3), ('room location', 3), ('quite street', 2)]","[('pricey little', 1), ('little breakfast', 1), ('favorite spot', 1), ('spot add', 1), ('add visit', 1)]"
109,Garden Elys e,"[('staff location', 3), ('triumph arc', 2), ('helpful friendly', 2), ('good staff', 2), ('amidst hotel', 1)]","[('charles bag', 1), ('bag take', 1), ('take luggage', 1), ('luggage staff', 1), ('xiv frog', 1)]"
110,Hotel Louvre Montana,"[('staff location', 5), ('helpful staff', 3), ('distance walking', 2), ('rivoli rue', 2), ('nice clean', 2)]","[('small room', 2), ('risky sleepy', 1), ('sleepy measure', 1), ('measure risk', 1), ('risk leaf', 1)]"
111,Ambassadors Bloomsbury,"[('staff location', 24), ('good location', 24), ('comfortable bed', 18), ('friendly staff', 15), ('comfy bed', 14)]","[('small room', 38), ('bathroom small', 11), ('expensive breakfast', 8), ('little small', 7), ('bed room', 7)]"
112,Le 123 S bastopol Astotel,"[('friendly staff', 4), ('helpful friendly', 4), ('nord du', 3), ('great staff', 3), ('clean helpful', 3)]","[('anything think', 2), ('small room', 2), ('purchased dull', 1), ('dull smaller', 1), ('smaller expected', 1)]"
113,Le 123 Elysees Astotel,"[('helpful friendly', 3), ('friendly staff', 3), ('helpful staff', 2), ('learned settled', 1), ('settled understood', 1)]","[('size room', 2), ('enough remote', 1), ('remote easily', 1), ('easily stop', 1), ('stop metro', 1)]"
114,The Bryson Hotel,"[('comfortable bed', 8), ('comfy bed', 5), ('friendly staff', 4), ('staff location', 4), ('bed clean', 4)]","[('socket mirror', 2), ('small room', 2), ('scrambled bacon', 1), ('bacon element', 1), ('element egg', 1)]"
