,Hotel_name,Positive_summary,Negative_summary
18,Pullman Paris Centre Bercy,"[('bercy village', 18), ('helpful friendly', 5), ('friendly staff', 5), ('great location', 4), ('helpful staff', 3)]","[('pool would', 3), ('would nice', 2), ('attraction far', 2), ('bland fairly', 1), ('fairly business', 1)]"
19,Gardette Park Hotel,"[('friendly staff', 7), ('location staff', 5), ('helpful friendly', 4), ('clean friendly', 4), ('friendly great', 4)]","[('small room', 7), ('little bit', 2), ('improved easily', 2), ('easily basic', 2), ('basic could', 2)]"
20,Hotel Panache,"[('bed great', 2), ('newly renovated', 2), ('great staff', 2), ('design amazing', 2), ('comfortable bed', 2)]","[('shower could', 2), ('poor wifi', 2), ('unhelpful woke', 1), ('woke clear', 1), ('clear guy', 1)]"
21,H tel des Ducs D Anjou,"[('helpful friendly', 6), ('location staff', 5), ('great location', 3), ('friendly location', 3), ('friendly staff', 3)]","[('small room', 3), ('little shower', 2), ('extremely poor', 2), ('bathroom small', 2), ('shower bathroom', 2)]"
22,Hotel Scribe Paris Opera by Sofitel,"[('location staff', 7), ('location room', 4), ('friendly bed', 3), ('bed staff', 3), ('comfortable bed', 3)]","[('longer stayed', 2), ('gym small', 2), ('price breakfast', 2), ('bath shower', 2), ('nightly mobility', 1)]"
23,Novotel London West,"[('friendly staff', 34), ('hammersmith apollo', 31), ('location staff', 30), ('helpful friendly', 29), ('good breakfast', 28)]","[('car park', 7), ('parking expensive', 6), ('car parking', 5), ('bar staff', 5), ('bit bed', 4)]"
24,Haymarket Hotel,"[('location room', 4), ('location staff', 4), ('facility excellent', 3), ('great location', 3), ('good hotel', 2)]","[('loved everything', 2), ('brummus lacklustre', 1), ('lacklustre following', 1), ('following service', 1), ('service compared', 1)]"
25,Intercontinental London The O2,"[('friendly staff', 44), ('comfortable bed', 43), ('helpful friendly', 39), ('amazing view', 34), ('comfy bed', 32)]","[('expensive breakfast', 16), ('price bar', 15), ('drink expensive', 15), ('expensive price', 12), ('drink price', 10)]"
26,H tel Juliana Paris,"[('good location', 4), ('eiffel tower', 4), ('comfortable bed', 3), ('nice clean', 3), ('clean good', 3)]","[('small room', 3), ('bottle water', 2), ('limited facility', 2), ('little bit', 2), ('desk front', 2)]"
27,Hotel L Antoine,"[('great location', 5), ('friendly staff', 5), ('location staff', 5), ('great staff', 4), ('excellent staff', 3)]","[('small room', 12), ('everything great', 3), ('bit small', 3), ('noisy small', 2), ('small bed', 2)]"
28,Belfast,"[('good location', 3), ('triumph arc', 2), ('location room', 2), ('hotel location', 2), ('location staff', 2)]","[('small room', 6), ('paper towel', 1), ('towel toilet', 1), ('understands speaks', 1), ('speaks speed', 1)]"
29,Shangri La Hotel Paris,"[('concierge service', 2), ('service excellent', 2), ('eiffel tower', 2), ('proposed category', 1), ('category different', 1)]","[('probably level', 2), ('level morning', 2), ('morning thing', 2), ('earlier informed', 1), ('informed know', 1)]"
30,Mercure Paris Tour Eiffel Pont Mirabeau,"[('location staff', 6), ('helpful friendly', 4), ('eiffel tower', 2), ('good location', 2), ('friendly great', 2)]","[('seat kuerig', 1), ('kuerig silverware', 1), ('silverware guest', 1), ('guest chaos', 1), ('sqm privilege', 1)]"
31,Knightsbridge Hotel,"[('location staff', 8), ('great good', 4), ('great location', 3), ('helpful staff', 3), ('every thing', 3)]","[('small room', 5), ('facility room', 2), ('making coffee', 2), ('coffee facility', 2), ('key card', 1)]"
32,The London EDITION,"[('location staff', 3), ('excellent staff', 3), ('great location', 3), ('everything hotel', 3), ('lobby beautiful', 2)]","[('value money', 3), ('making tea', 2), ('small room', 2), ('room small', 2), ('ipads lacking', 1)]"
33,The Cranley Hotel,"[('helpful friendly', 5), ('comfortable bed', 4), ('helpful staff', 4), ('good location', 3), ('friendly staff', 3)]","[('tea coffee', 3), ('liked tea', 2), ('floorboard creaky', 2), ('anything think', 2), ('tea facility', 2)]"
34,Hotel Le 10 BIS,"[('clean friendly', 2), ('duty beyond', 2), ('effect reality', 1), ('reality cor', 1), ('cor worked', 1)]","[('cup provided', 1), ('provided im', 1), ('im sugar', 1), ('sugar drinking', 1), ('honestly happy', 1)]"
35,The Nadler Soho,"[('location staff', 32), ('great location', 23), ('location room', 11), ('good location', 10), ('clean great', 8)]","[('small room', 33), ('restaurant bar', 4), ('bit small', 4), ('poor wifi', 3), ('wifi room', 3)]"
36,Grange St Paul s Hotel,"[('great location', 46), ('location staff', 38), ('good location', 29), ('location room', 27), ('hotel location', 25)]","[('price breakfast', 8), ('small room', 6), ('alarm fire', 5), ('slow lift', 5), ('value money', 5)]"
37,The Ampersand Hotel,"[('location staff', 18), ('great location', 12), ('south kensington', 9), ('helpful friendly', 8), ('friendly great', 7)]","[('small room', 30), ('bit small', 5), ('people two', 3), ('rather small', 3), ('well small', 3)]"
38,Covent Garden Hotel,"[('friendly staff', 2), ('beautiful facility', 2), ('great location', 2), ('escape relax', 1), ('relax lounge', 1)]","[('place like', 1), ('amends recognised', 1), ('recognised gracious', 1), ('gracious impeccable', 1), ('impeccable later', 1)]"
39,The Nadler Victoria,"[('location staff', 26), ('great location', 25), ('helpful friendly', 13), ('buckingham palace', 10), ('friendly great', 9)]","[('small room', 19), ('restaurant bar', 6), ('would nice', 5), ('bit small', 5), ('little small', 4)]"
40,Novotel London Tower Bridge,"[('location staff', 14), ('great location', 11), ('comfortable clean', 10), ('friendly staff', 10), ('tube near', 7)]","[('bar staff', 3), ('better could', 3), ('triple sofa', 2), ('sofa uncomfortable', 2), ('uncomfortable bed', 2)]"
41,Crowne Plaza Paris R publique,"[('location staff', 11), ('good location', 9), ('good breakfast', 8), ('breakfast location', 8), ('metro close', 5)]","[('smell lobby', 2), ('expensive bit', 2), ('small room', 2), ('small bed', 2), ('service room', 2)]"
42,Le Metropolitan a Tribute Portfolio Hotel,"[('helpful friendly', 6), ('location staff', 4), ('eiffel tower', 4), ('comfortable helpful', 4), ('good location', 3)]","[('small room', 3), ('cut eventually', 1), ('eventually happened', 1), ('happened answer', 1), ('answer waited', 1)]"
43,Atala Champs Elys es,"[('location room', 3), ('excellent location', 2), ('location staff', 2), ('friendly good', 2), ('good location', 2)]","[('furniture old', 2), ('one luggage', 1), ('luggage oily', 1), ('oily check', 1), ('check visited', 1)]"
44,H tel de Jos phine BONAPARTE,"[('bed great', 2), ('perfect everything', 2), ('extremely helpful', 2), ('female particularly', 1), ('particularly member', 1)]","[('small room', 7), ('earplug bring', 1), ('bring trying', 1), ('trying dark', 1), ('dark evening', 1)]"
45,Maison Souquet,"[('souquet maison', 3), ('moulin rouge', 2), ('excellent staff', 2), ('fantastic staff', 2), ('exotic definite', 1)]","[('bit breakfast', 2), ('size room', 2), ('light key', 1), ('key dark', 1), ('dark find', 1)]"
46,Hotel Tour d Auvergne Opera,"[('nord du', 3), ('du gare', 2), ('helpful friendly', 2), ('sunny nord', 1), ('gare enjoyable', 1)]","[('experience convinced', 1), ('convinced double', 1), ('double favour', 1), ('favour related', 1), ('samsung alot', 1)]"
47,Le Senat,"[('location staff', 8), ('good location', 6), ('comfortable nice', 3), ('nice location', 3), ('great location', 3)]","[('small room', 5), ('bit small', 3), ('fi wi', 2), ('anything find', 2), ('elevator small', 1)]"
48,Windsor Opera,"[('helpful friendly', 3), ('friendly staff', 3), ('great location', 2), ('location room', 2), ('clean location', 2)]","[('signage kettle', 1), ('kettle bigger', 1), ('bigger see', 1), ('see make', 1), ('isolation sound', 1)]"
49,Holiday Inn Paris Montparnasse Pasteur,"[('good breakfast', 2), ('location staff', 2), ('deal pleasant', 1), ('pleasant staff', 1), ('attitude manager', 1)]","[('overrating theee', 1), ('theee backache', 1), ('backache definitely', 1), ('definitely sofa', 1), ('pourquoi inconvenienced', 1)]"
50,H tel Keppler,"[('location staff', 6), ('helpful friendly', 4), ('triomphe arc', 3), ('great location', 3), ('clean helpful', 3)]","[('small room', 4), ('tea coffee', 3), ('coffee room', 2), ('little small', 2), ('size room', 2)]"
51,Les Plumes Hotel,"[('location staff', 7), ('helpful friendly', 4), ('nord du', 4), ('friendly location', 4), ('friendly staff', 3)]","[('small room', 3), ('tourist attraction', 2), ('liked everything', 2), ('journey required', 1), ('required control', 1)]"
52,Hotel des Tuileries Relais du Silence,"[('good location', 7), ('location staff', 6), ('great location', 6), ('location room', 3), ('jardin tuileries', 2)]","[('value money', 3), ('service room', 2), ('money breakfast', 2), ('old little', 1), ('little practical', 1)]"
53,Bradford Elys es Astotel,"[('good location', 5), ('helpful friendly', 3), ('hotel location', 3), ('location room', 2), ('friendly staff', 2)]","[('included breakfast', 2), ('blems misstep', 1), ('misstep floor', 1), ('floor garret', 1), ('garret rebate', 1)]"
54,W London Leicester Square,"[('great location', 12), ('location staff', 8), ('hotel location', 7), ('excellent location', 7), ('friendly great', 5)]","[('tea coffee', 3), ('coffee facility', 3), ('club actually', 2), ('bathroom room', 2), ('outside noise', 2)]"
55,The Victoria,"[('friendly staff', 7), ('helpful friendly', 5), ('great staff', 4), ('quiet comfortable', 3), ('comfortable helpful', 3)]","[('fruit pineapple', 2), ('plane sleeper', 2), ('hard bed', 2), ('would nice', 2), ('bathroom small', 2)]"
56,Pullman London St Pancras,"[('location staff', 41), ('friendly staff', 30), ('helpful friendly', 27), ('breakfast location', 22), ('good breakfast', 20)]","[('hard pillow', 13), ('small room', 6), ('uncomfortable bed', 5), ('noisy air', 4), ('expensive breakfast', 4)]"
57,Crowne Plaza London Kensington,"[('location staff', 11), ('helpful friendly', 7), ('friendly great', 6), ('great location', 6), ('good breakfast', 6)]","[('small room', 6), ('great breakfast', 2), ('friendly staff', 2), ('bit shower', 2), ('warm room', 2)]"
58,Doubletree by Hilton London Kensington,"[('location staff', 39), ('good location', 36), ('great location', 27), ('helpful friendly', 26), ('comfortable bed', 23)]","[('small room', 38), ('little small', 7), ('wifi free', 7), ('bit small', 6), ('price breakfast', 5)]"
59,Ace Hotel London Shoreditch,"[('great location', 14), ('friendly staff', 12), ('friendly great', 12), ('player record', 9), ('comfy bed', 8)]","[('expensive bit', 4), ('service breakfast', 4), ('little bit', 4), ('expensive london', 2), ('included would', 2)]"
60,Staybridge Suites London Vauxhall,"[('helpful friendly', 6), ('friendly good', 5), ('staff room', 5), ('good breakfast', 4), ('location room', 4)]","[('hard bit', 3), ('bit bed', 3), ('hard bed', 3), ('negative say', 2), ('shower bathroom', 2)]"
61,The Grosvenor,"[('location staff', 45), ('great location', 45), ('good location', 32), ('helpful friendly', 29), ('comfortable bed', 22)]","[('small room', 35), ('bathroom small', 8), ('service room', 7), ('little small', 6), ('night one', 5)]"
62,The Park Tower Knightsbridge a Luxury Collection Hotel,"[('location staff', 12), ('every thing', 8), ('great location', 7), ('location room', 7), ('good location', 6)]","[('wifi free', 9), ('fi wi', 6), ('free room', 4), ('high price', 3), ('price hotel', 3)]"
63,Amp re,"[('good location', 5), ('bed great', 4), ('near metro', 4), ('friendly staff', 4), ('friendly bed', 3)]","[('small room', 3), ('expensive price', 2), ('good breakfast', 2), ('long way', 2), ('little small', 2)]"
64,Melia Paris Champs Elys es,"[('fluent triomphe', 1), ('triomphe shape', 1), ('shape arc', 1), ('arc amazingly', 1), ('professionalism friendly', 1)]","[('critique available', 1), ('available practical', 1), ('practical suggestion', 1), ('suggestion midnight', 1), ('tramp footstep', 1)]"
65,Le Parisis Paris Tour Eiffel,"[('eiffel tower', 61), ('location staff', 13), ('staff room', 9), ('helpful friendly', 8), ('hotel location', 6)]","[('eiffel tower', 9), ('small room', 7), ('service room', 4), ('expensive breakfast', 4), ('tower view', 3)]"
66,Thistle Kensington Gardens,"[('location staff', 37), ('good location', 26), ('good breakfast', 22), ('helpful friendly', 20), ('comfortable clean', 19)]","[('small room', 41), ('bit small', 8), ('little small', 6), ('price small', 5), ('size room', 5)]"
67,Park Plaza Sherlock Holmes London,"[('location staff', 35), ('great location', 25), ('good location', 15), ('helpful friendly', 15), ('hotel location', 12)]","[('small room', 12), ('door bathroom', 5), ('glass door', 5), ('shower small', 4), ('value money', 3)]"
68,Hilton Paris Opera,"[('hotel location', 6), ('great location', 4), ('great breakfast', 3), ('friendly staff', 3), ('executive lounge', 2)]","[('small room', 3), ('wait long', 2), ('long check', 2), ('day complimentary', 1), ('complimentary given', 1)]"
69,The Kensington Hotel,"[('location staff', 11), ('good location', 7), ('great location', 7), ('friendly great', 7), ('friendly staff', 7)]","[('small room', 28), ('bathroom small', 7), ('bit small', 3), ('size room', 3), ('quite small', 3)]"
70,Holiday Inn London Stratford City,"[('great location', 36), ('location staff', 26), ('good location', 24), ('breakfast location', 22), ('friendly staff', 21)]","[('anything think', 4), ('fi wi', 4), ('slow wifi', 4), ('negative say', 3), ('poor wifi', 3)]"
71,Staybridge Suites London Stratford,"[('location staff', 20), ('friendly staff', 11), ('great location', 10), ('helpful friendly', 9), ('comfortable bed', 7)]","[('could breakfast', 4), ('anything think', 3), ('choice breakfast', 3), ('would nice', 3), ('better could', 2)]"
72,Shepherd s Bush Boutique Hotel,"[('shepherd bush', 46), ('location staff', 20), ('friendly staff', 19), ('great location', 16), ('good location', 14)]","[('small room', 9), ('bit room', 5), ('smelt drain', 3), ('con air', 3), ('air work', 3)]"
73,My Bloomsbury,"[('location staff', 25), ('great location', 16), ('good location', 15), ('comfortable bed', 10), ('friendly great', 10)]","[('small room', 25), ('bathroom small', 6), ('little small', 3), ('thin hear', 3), ('bathroom room', 3)]"
74,Holiday Inn Paris Gare de Lyon Bastille,"[('lyon gare', 40), ('gare de', 37), ('good location', 11), ('friendly staff', 9), ('location staff', 8)]","[('small room', 10), ('bit breakfast', 4), ('door next', 4), ('expensive bit', 3), ('internet slow', 3)]"
75,H tel Chaplain Paris Rive Gauche,"[('location staff', 5), ('jardin luxembourg', 3), ('friendly good', 3), ('friendly staff', 3), ('great location', 3)]","[('small room', 3), ('gave fresh', 2), ('street noise', 2), ('lift small', 2), ('tea coffee', 2)]"
76,H tel Regina Op ra Grands Boulevards,"[('modern clean', 2), ('friendly good', 2), ('kitch attempt', 1), ('attempt interesting', 1), ('interesting major', 1)]","[('knob moving', 1), ('moving arrive', 1), ('arrive iron', 1), ('iron kept', 1), ('space toddler', 1)]"
77,11 Cadogan Gardens,"[('friendly staff', 9), ('location staff', 9), ('helpful friendly', 8), ('helpful staff', 3), ('good location', 3)]","[('bathroom small', 3), ('expensive breakfast', 2), ('prise excessive', 1), ('excessive thought', 1), ('thought drink', 1)]"
78,The Wellesley Knightsbridge a Luxury Collection Hotel London,"[('location staff', 4), ('perfect everything', 4), ('friendly staff', 3), ('service excellent', 3), ('good location', 2)]","[('small room', 3), ('foundation never', 1), ('never invoice', 1), ('invoice careful', 1), ('careful chain', 1)]"
79,Hotel Astor Saint Honor ,"[('astor alittle', 1), ('alittle present', 1), ('present closing', 1), ('closing ambiance', 1), ('larger getting', 1)]","[('beauty ac', 1), ('ac fact', 1), ('fact terrace', 1), ('terrace roof', 1), ('exist planned', 1)]"
80,Op ra Marigny,"[('good location', 10), ('location staff', 9), ('bed good', 4), ('clean good', 3), ('comfortable clean', 3)]","[('small room', 3), ('speaking channel', 2), ('channel english', 2), ('work wifi', 2), ('early morning', 2)]"
81,H tel Diva Opera,"[('location staff', 12), ('helpful friendly', 11), ('friendly staff', 10), ('comfortable bed', 6), ('great location', 6)]","[('small room', 7), ('bit room', 5), ('tiny room', 4), ('size room', 3), ('could breakfast', 3)]"
82,Le Marcel,"[('gare de', 5), ('location staff', 5), ('est gare', 3), ('nord du', 3), ('du gare', 3)]","[('small room', 5), ('spot entrance', 2), ('paris like', 2), ('like small', 2), ('uncomfortable way', 1)]"
83,H tel Duo,"[('location staff', 16), ('great location', 10), ('helpful friendly', 6), ('friendly location', 5), ('hotel location', 5)]","[('small room', 15), ('tiny room', 3), ('bit small', 3), ('bathroom small', 3), ('high price', 2)]"
84,H tel Le Marianne,"[('elysees champ', 2), ('good location', 2), ('nice clean', 2), ('quiet location', 2), ('champ smart', 2)]","[('small room', 4), ('regardless feature', 1), ('feature breakfast', 1), ('breakfast cheese', 1), ('cheese croissant', 1)]"
85,The Rembrandt,"[('location staff', 23), ('good breakfast', 19), ('breakfast location', 17), ('friendly staff', 16), ('good location', 16)]","[('small room', 9), ('bit small', 6), ('little small', 4), ('night one', 3), ('perfect everything', 3)]"
86,Hotel Eden,"[('clean friendly', 5), ('helpful friendly', 4), ('clean helpful', 4), ('location staff', 3), ('metro close', 3)]","[('small room', 5), ('paris standard', 2), ('toilet bathroom', 2), ('centre far', 2), ('unappealing equipment', 1)]"
87,H tel de la Bourdonnais,"[('eiffel tower', 24), ('location staff', 18), ('great location', 11), ('good location', 8), ('helpful staff', 5)]","[('small room', 5), ('connection internet', 3), ('could room', 2), ('separate toilet', 2), ('longer stay', 2)]"
88,Ashburn Hotel,"[('location staff', 8), ('helpful friendly', 7), ('friendly staff', 7), ('royal albert', 6), ('clean helpful', 5)]","[('breakfast room', 6), ('small breakfast', 3), ('variety offer', 2), ('slow wifi', 2), ('internet poor', 2)]"
89,Marlin Waterloo,"[('good location', 3), ('location room', 3), ('comfortable bed', 2), ('excellent location', 2), ('bar nice', 2)]","[('bottle water', 2), ('door next', 2), ('small room', 2), ('tuned bin', 1), ('bin detail', 1)]"
90,Best Western Premier Marais Grands Boulevards,"[('location staff', 9), ('great location', 7), ('good location', 6), ('nice clean', 4), ('comfortable clean', 4)]","[('small room', 12), ('window little', 2), ('stay small', 2), ('designed bad', 2), ('street noise', 2)]"
91,Novotel London Waterloo,"[('friendly staff', 10), ('location staff', 8), ('good location', 8), ('helpful friendly', 7), ('good breakfast', 7)]","[('expensive price', 3), ('construction kid', 2), ('sugar milk', 2), ('comfortable bed', 2), ('food breakfast', 2)]"
92,The Athenaeum,"[('location staff', 7), ('good location', 5), ('staff room', 5), ('great location', 5), ('location room', 4)]","[('high price', 2), ('water room', 2), ('item mini', 2), ('door counter', 1), ('counter locked', 1)]"
93,Park International Hotel,"[('location staff', 18), ('great location', 15), ('friendly staff', 10), ('good breakfast', 10), ('good location', 10)]","[('small room', 13), ('wifi free', 11), ('small bed', 5), ('fi wi', 5), ('wifi room', 5)]"
94,Lansbury Heritage Hotel,"[('friendly staff', 3), ('canary wharf', 2), ('sencor poplar', 1), ('poplar internet', 1), ('internet everything', 1)]","[('neigbours side', 1), ('side noise', 1), ('noise asleep', 1), ('asleep surrounded', 1), ('state general', 1)]"
95,Le Dokhan s a Tribute Portfolio Hotel,"[('location staff', 3), ('great location', 2), ('good location', 2), ('hotel location', 2), ('bed good', 1)]","[('card master', 1), ('master accept', 1), ('accept happened', 1), ('happened yheir', 1), ('toilet stuffed', 1)]"
96,Le Relais Madeleine,"[('good location', 9), ('location staff', 7), ('great location', 3), ('friendly good', 3), ('distance walking', 2)]","[('small room', 2), ('web booking', 1), ('booking site', 1), ('site com', 1), ('com overpaid', 1)]"
97,Terrass H tel Montmartre by MH,"[('eiffel tower', 7), ('amazing view', 6), ('friendly staff', 6), ('location staff', 5), ('helpful friendly', 5)]","[('tea coffee', 5), ('value money', 2), ('bathroom small', 2), ('channel english', 2), ('english tv', 2)]"
98,Millennium Hotel Paris Opera,"[('location staff', 9), ('good location', 4), ('helpful friendly', 3), ('great location', 3), ('comfortable bed', 3)]","[('value money', 2), ('upgrade included', 2), ('small room', 2), ('standard star', 1), ('star lay', 1)]"
99,Waldorf Madeleine,"[('location staff', 33), ('great location', 14), ('good location', 13), ('friendly location', 8), ('friendly great', 7)]","[('small breakfast', 8), ('small room', 8), ('breakfast room', 7), ('expensive breakfast', 5), ('small comfortable', 3)]"
100,Batty Langley s,"[('langley batty', 10), ('friendly staff', 6), ('attention detail', 6), ('helpful friendly', 5), ('beautiful hotel', 5)]","[('included think', 3), ('tea coffee', 3), ('coffee facility', 3), ('hot water', 3), ('anything think', 2)]"
101,Best Western Mornington Hotel Hyde Park,"[('good breakfast', 32), ('hyde park', 21), ('lancaster gate', 20), ('location staff', 20), ('great location', 19)]","[('small room', 36), ('lancaster gate', 6), ('small bed', 5), ('little small', 4), ('bathroom small', 4)]"
102,Arbor City,"[('aldgate east', 24), ('lane brick', 19), ('friendly staff', 17), ('comfortable clean', 17), ('great location', 17)]","[('expensive breakfast', 6), ('car park', 5), ('little bit', 4), ('small bed', 4), ('area bit', 3)]"
103,Hotel La Lanterne,"[('notre dame', 7), ('location staff', 4), ('excellent hotel', 3), ('great location', 3), ('decor loved', 2)]","[('small room', 2), ('international dislike', 1), ('dislike channel', 1), ('channel anything', 1), ('anything tv', 1)]"
104,H tel Square Louvois,"[('helpful friendly', 3), ('stylish interior', 2), ('great staff', 2), ('icon aesthetically', 1), ('aesthetically current', 1)]","[('perfect everything', 2), ('quite small', 2), ('small room', 2), ('family might', 1), ('might kid', 1)]"
105,Hotel Marignan Champs Elys es,"[('location staff', 19), ('great location', 8), ('hotel location', 4), ('nice location', 4), ('friendly great', 4)]","[('small room', 8), ('water shower', 2), ('bit small', 2), ('selection buffet', 2), ('elevator slow', 2)]"
106,Le Grey Hotel,"[('comfortable nice', 3), ('nice helpful', 3), ('location staff', 3), ('value money', 2), ('amazing shower', 2)]","[('small room', 2), ('bed room', 2), ('slightly bedroom', 1), ('bedroom small', 1), ('small comfortable', 1)]"
107,Le Pavillon des Lettres,"[('location staff', 4), ('decor location', 3), ('lovely helpful', 2), ('great location', 2), ('excellent location', 2)]","[('machine coffee', 2), ('coffee room', 2), ('much suggest', 1), ('suggest compact', 1), ('compact larger', 1)]"
108,H tel San R gis,"[('location staff', 8), ('staff room', 5), ('location room', 3), ('hotel staff', 2), ('hotel location', 2)]","[('pricey little', 1), ('little breakfast', 1), ('favorite add', 1), ('add spot', 1), ('spot visit', 1)]"
109,Garden Elys e,"[('location staff', 3), ('good location', 3), ('helpful friendly', 3), ('triumph arc', 2), ('breakfast location', 2)]","[('charles bag', 1), ('bag take', 1), ('take luggage', 1), ('luggage refused', 1), ('xiv frog', 1)]"
110,Hotel Louvre Montana,"[('location staff', 5), ('great location', 3), ('helpful staff', 2), ('helpful location', 2), ('distance walking', 2)]","[('small room', 2), ('risky sleepy', 1), ('sleepy measure', 1), ('measure risk', 1), ('risk leaf', 1)]"
111,Ambassadors Bloomsbury,"[('good location', 38), ('location staff', 26), ('great location', 25), ('cross king', 19), ('comfortable bed', 14)]","[('small room', 37), ('bathroom small', 15), ('little small', 7), ('bed room', 7), ('bit small', 7)]"
112,Le 123 S bastopol Astotel,"[('helpful friendly', 5), ('friendly staff', 4), ('helpful staff', 4), ('nord du', 3), ('comfortable clean', 3)]","[('north worse', 2), ('anything think', 2), ('small room', 2), ('purchased dull', 1), ('dull smaller', 1)]"
113,Le 123 Elysees Astotel,"[('helpful friendly', 3), ('friendly staff', 3), ('learned settled', 1), ('settled understood', 1), ('understood parisian', 1)]","[('size room', 2), ('enough remote', 1), ('remote easily', 1), ('easily stop', 1), ('stop around', 1)]"
114,The Bryson Hotel,"[('location staff', 4), ('comfortable clean', 4), ('clean helpful', 4), ('comfortable bed', 4), ('really comfortable', 3)]","[('mirror plug', 2), ('small room', 2), ('scrambled bacon', 1), ('bacon element', 1), ('element egg', 1)]"
115,Best Western Mercedes Arc de Triomphe,"[('good location', 3), ('hotel location', 2), ('helpful good', 2), ('triumph duplex', 2), ('triomphe arc', 2)]","[('stuffy luggage', 1), ('luggage put', 1), ('put felt', 1), ('felt find', 1), ('rebate scaffold', 1)]"
